Archivo,Bib_Corredor,Club / Jersey,Gadgets_Detectados,Nivel_Emocion
689001038_122224086998582925_2226492338653474738_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689480942_122224085498582925_570825199647964306_n.jpg,1816,Genérico / Independiente,A smartwatch,Concentrado
689480942_122224085498582925_570825199647964306_n.jpg,20,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689480942_122224085498582925_570825199647964306_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689480942_122224085498582925_570825199647964306_n.jpg,745,Genérico / Independiente,A smartwatch,Agotado
689480942_122224085498582925_570825199647964306_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689480942_122224085498582925_570825199647964306_n.jpg,1791,Genérico / Independiente,A smartwatch,Agotado
689480942_122224085498582925_570825199647964306_n.jpg,20,Genérico / Independiente,A smartwatch,Agotado
689480942_122224085498582925_570825199647964306_n.jpg,111,Genérico / Independiente,Headphones,Alta Energía / Positiva
689473200_122224087670582925_6111209916151606107_n.jpg,19,Genérico / Independiente,A smartwatch,Concentrado
689473200_122224087670582925_6111209916151606107_n.jpg,2157,Genérico / Independiente,A smartwatch,Concentrado
689473200_122224087670582925_6111209916151606107_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
689473200_122224087670582925_6111209916151606107_n.jpg,No detectado,Genérico / Independiente,Headphones,Concentrado
689473200_122224087670582925_6111209916151606107_n.jpg,No detectado,Genérico / Independiente,Headphones,Concentrado
689473200_122224087670582925_6111209916151606107_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
689473200_122224087670582925_6111209916151606107_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689007452_122224088690582925_603830295569579259_n.jpg,225,Genérico / Independiente,A smartwatch,Concentrado
689007452_122224088690582925_603830295569579259_n.jpg,2109,Genérico / Independiente,A smartwatch,Concentrado
689007452_122224088690582925_603830295569579259_n.jpg,1813,Genérico / Independiente,A smartwatch,Agotado
689007452_122224088690582925_603830295569579259_n.jpg,279,Genérico / Independiente,A smartwatch,Concentrado
689007452_122224088690582925_603830295569579259_n.jpg,1622,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689007452_122224088690582925_603830295569579259_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689007452_122224088690582925_603830295569579259_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689007452_122224088690582925_603830295569579259_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689021860_122224088048582925_7769367794365670568_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689021860_122224088048582925_7769367794365670568_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689021860_122224088048582925_7769367794365670568_n.jpg,94,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689021860_122224088048582925_7769367794365670568_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689021860_122224088048582925_7769367794365670568_n.jpg,94,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689021860_122224088048582925_7769367794365670568_n.jpg,953,Genérico / Independiente,A smartwatch,Agotado
697793033_122184316052592376_7003967167834355145_n.jpg,No detectado,Genérico / Independiente,Headphones,Concentrado
689000846_122224090556582925_2628657149078087979_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689000846_122224090556582925_2628657149078087979_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689000846_122224090556582925_2628657149078087979_n.jpg,2040,Genérico / Independiente,A smartwatch,Concentrado
689000846_122224090556582925_2628657149078087979_n.jpg,No detectado,Genérico / Independiente,Headphones,Agotado
689000846_122224090556582925_2628657149078087979_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
689000846_122224090556582925_2628657149078087979_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689000846_122224090556582925_2628657149078087979_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689000846_122224090556582925_2628657149078087979_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
689000846_122224090556582925_2628657149078087979_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689000846_122224090556582925_2628657149078087979_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
697792619_122184315602592376_763363598250165357_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
698435248_122224089602582925_938660778874579252_n.jpg,No detectado,Genérico / Independiente,Headphones,Concentrado
698435248_122224089602582925_938660778874579252_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
698435248_122224089602582925_938660778874579252_n.jpg,684,Genérico / Independiente,A smartwatch,Concentrado
698435248_122224089602582925_938660778874579252_n.jpg,1814,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
698435248_122224089602582925_938660778874579252_n.jpg,770,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
698435248_122224089602582925_938660778874579252_n.jpg,686,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
698435248_122224089602582925_938660778874579252_n.jpg,099,Genérico / Independiente,A smartwatch,Agotado
698435248_122224089602582925_938660778874579252_n.jpg,No detectado,Genérico / Independiente,Headphones,Concentrado
698435248_122224089602582925_938660778874579252_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
689473581_122224084442582925_2895209625714555092_n.jpg,33,Genérico / Independiente,A smartwatch,Concentrado
689473581_122224084442582925_2895209625714555092_n.jpg,No detectado,Genérico / Independiente,Headphones,Alta Energía / Positiva
689473581_122224084442582925_2895209625714555092_n.jpg,1771,Genérico / Independiente,A smartwatch,Agotado
689473581_122224084442582925_2895209625714555092_n.jpg,60,Genérico / Independiente,A smartwatch,Concentrado
689473581_122224084442582925_2895209625714555092_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689473581_122224084442582925_2895209625714555092_n.jpg,503,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689473581_122224084442582925_2895209625714555092_n.jpg,1503,Genérico / Independiente,A smartwatch,Concentrado
689473581_122224084442582925_2895209625714555092_n.jpg,94,Genérico / Independiente,A smartwatch,Agotado
689473581_122224084442582925_2895209625714555092_n.jpg,692,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689473581_122224084442582925_2895209625714555092_n.jpg,33,Genérico / Independiente,A smartwatch,Agotado
691038945_122224086902582925_3780286705869214026_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
691038945_122224086902582925_3780286705869214026_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
691038945_122224086902582925_3780286705869214026_n.jpg,1840,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
691038945_122224086902582925_3780286705869214026_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
691038945_122224086902582925_3780286705869214026_n.jpg,312,Genérico / Independiente,A smartwatch,Concentrado
691038945_122224086902582925_3780286705869214026_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
